"","country","year","income","lifeExp","region","pop","pop2"
"20145","Latvia",2015,23100,74.8,"Europe",1990000,5.50364519670068
"20364","Lebanon",2015,13100,80.1,"Asia",5850000,6.58195221920804
"20583","Lesotho",2015,2780,49.6,"Africa",2170000,5.59023772551664
"20802","Liberia",2015,785,63.8,"Africa",4500000,6.31958795474055
"21021","Libya",2015,13500,74.2,"Africa",6230000,6.64488689076364
"21240","Lithuania",2015,27000,74.9,"Europe",2930000,5.89051298099325
"21459","Luxembourg",2015,95300,82,"Europe",567000,4.24811458270989
"21678","Macedonia, FYR",2015,12800,74.6,NA,2080000,5.5478784516775
"21897","Madagascar",2015,1380,62.3,"Africa",24200000,8.00186319112692
"22116","Malawi",2015,1090,59.4,"Africa",17600000,7.68340946000838
"22335","Malaysia",2015,25000,75.4,"Asia",30700000,8.23977321255743
"22554","Maldives",2015,12000,79.3,"Asia",418000,3.94323671150689
"22773","Mali",2015,1920,61.4,"Africa",17500000,7.67771143889374
"22992","Malta",2015,34400,81.3,"Europe",428000,3.96687847456393
"23211","Marshall Islands",2015,3670,64.7,"Oceania",53000,1.87804719253426
"23430","Mauritania",2015,3600,70,"Africa",4180000,6.24582180450094
"23649","Mauritius",2015,18900,74.5,"Africa",1260000,5.04662227892766
"23868","Mexico",2015,16700,76.2,"Americas",126000000,9.65179246491575
"24087","Micronesia, Fed. Sts.",2015,3290,65.3,NA,104000,2.55214617812351
"24306","Moldova",2015,4750,72.1,NA,4070000,6.21915355741878
"24525","Monaco",2015,58800,NA,"Europe",38300,1.55320517516874
"24744","Mongolia",2015,11400,68.2,"Asia",2980000,5.90743385848159
"24963","Montenegro",2015,15300,76.9,"Europe",628000,4.35029544545034
"25182","Morocco",2015,7290,74.8,"Africa",34800000,8.3651279447447
"25401","Mozambique",2015,1120,59,"Africa",28000000,8.14771506813948
"25620","Myanmar",2015,5070,69.5,"Asia",52400000,8.77441714929127
"25839","Namibia",2015,9910,64.3,"Africa",2430000,5.70340181531673
"26058","Nauru",2015,12300,NA,"Oceania",11300,0.332558004700433
"26277","Nepal",2015,2300,69.7,"Asia",28700000,8.17240768072985
"26496","Netherlands",2015,46400,81.6,"Europe",16900000,7.6428241798933
"26715","New Zealand",2015,34600,81.5,"Oceania",4610000,6.34373841497283
"26934","Nicaragua",2015,4960,78,"Americas",6080000,6.62051525394235
"27153","Niger",2015,897,61.2,"Africa",19900000,7.80623028969472
"27372","Nigeria",2015,5670,64,"Africa",181000000,10.0140075892301
"27591","North Korea",2015,1390,70.6,"Asia",25200000,8.04235455248165
"27810","Norway",2015,63700,82.1,"Europe",5200000,6.46416918355166
"28029","Oman",2015,40100,77.4,"Asia",4200000,6.2505950832536
"28248","Pakistan",2015,4700,67.3,"Asia",189000000,10.0572575730239
"28467","Palau",2015,14400,NA,"Oceania",21300,0.966462351697517
"28686","Palestine",2015,2650,71.8,"Asia",4660000,6.35452600610183
"28905","Panama",2015,20700,78.7,"Americas",3970000,6.19427665266337
"29124","Papua New Guinea",2015,2750,60.5,"Oceania",7920000,6.88490176379061
"29343","Paraguay",2015,8640,74.4,"Americas",6640000,6.70862252145262
"29562","Peru",2015,11800,79.5,"Americas",31400000,8.26231845087848
"29781","Philippines",2015,6880,70.1,"Asia",102000000,9.44048337124854
"30000","Poland",2015,25300,77.7,"Europe",38300000,8.46096045415088
"30219","Portugal",2015,26500,80.8,"Europe",10400000,7.1573163641116
"30438","Qatar",2015,120000,80.5,"Asia",2480000,5.72376911814117
"30657","Romania",2015,20500,75.1,"Europe",19900000,7.80623028969472
"30876","Russia",2015,24100,70.8,"Europe",144000000,9.78532385754027
"31095","Rwanda",2015,1720,67.3,"Africa",11600000,7.26651565607659
"31314","Samoa",2015,5560,71.7,"Oceania",194000,3.17561343804547
"31533","San Marino",2015,39200,NA,"Europe",33000,1.40426284044862
"31752","Sao Tome and Principe",2015,2940,70.3,"Africa",196000,3.18586993821265
"31971","Saudi Arabia",2015,50700,76.8,"Asia",31600000,8.26866767855714
"32190","Senegal",2015,2300,65.9,"Africa",15000000,7.52356075906648
"32409","Serbia",2015,13300,75.7,"Europe",8850000,6.99592801698411
"32628","Seychelles",2015,25500,73.7,"Africa",93700,2.44785346822651
"32847","Sierra Leone",2015,1320,57.6,"Africa",7240000,6.7951317643619
"33066","Singapore",2015,80900,83.6,"Asia",5540000,6.52750505872347
"33285","Slovak Republic",2015,28300,76.8,"Europe",5440000,6.50928961883213
"33504","Slovenia",2015,29100,80.7,"Europe",2070000,5.54305916524155
"33723","Solomon Islands",2015,2050,62.8,"Oceania",587000,4.28278009881023
"33942","Somalia",2015,623,57.3,"Africa",13900000,7.44739939810092
"34161","South Africa",2015,12400,61.8,"Africa",55300000,8.82828346649256
"34380","South Korea",2015,34200,80.9,"Asia",50600000,8.73946213425769
"34599","South Sudan",2015,1810,58.9,"Africa",11900000,7.29204895808176
"34818","Spain",2015,32200,82.9,"Europe",46400000,8.65281001719648
"35037","Sri Lanka",2015,11100,77.2,"Asia",20700000,7.8456442582356
"35256","St. Kitts and Nevis",2015,24100,NA,NA,54300,1.90227950592203
"35475","St. Lucia",2015,10700,76.1,"Americas",177000,3.08390501155597
"35694","St. Vincent and the Grenadines",2015,10500,71.6,"Americas",109000,2.59910316121128
"35913","Sudan",2015,4290,68,"Africa",38600000,8.46876283443506
"36132","Suriname",2015,14800,71.2,"Americas",553000,4.22311328050447
"36351","Swaziland",2015,8050,56.4,NA,1320000,5.09314229456255
"36570","Sweden",2015,45500,82.1,"Europe",9760000,7.09380295838928
"36789","Switzerland",2015,56500,83.1,"Europe",8320000,6.93417281279739
"37008","Syria",2015,3500,68.4,"Asia",18700000,7.74403408182481
"37227","Tajikistan",2015,2640,71.6,"Asia",8550000,6.96144184091294
"37446","Tanzania",2015,2490,63.5,"Africa",53900000,8.80264103587923
